,content,id,lat,location,lon,time,user,user_id
1828,@GodDamnitLopori Amazon river dolphin!,971523638259343360,,"Boston, MA",,2018-03-07 23:11:00,maresy,21373159
1829,RT @EPoDHarvard: Kicking off our workshop “Using Evidence to Inform Education Policy in Saudi Arabia” with @ProfDavidDeming discussing the…,971523637214924800,,Other Location,,2018-03-07 23:10:59,ahmed_fin,296450877
183,@mbakare Sending it right back!,971525268715261952,,Other Location in US,,2018-03-07 23:17:28,MannieeGeee,197223039
1830,@HughJassMarcAss Sweatband mode!,971523636850028544,,"Boston, MA",,2018-03-07 23:10:59,JustCwiss,1016408778
1831,"@kdubbsthe1 @mer_clarke @Reductress Uhhh yes, but I think we have to change some of our song choices. Proud to be a… https://t.co/OgtD7tPFNw",971523635918901248,,"Boston, MA",,2018-03-07 23:10:59,_curdo,216896717
1832,@Na0sGlass &lt;smirks&gt;don’t give me any ideas.,971523633263861760,,"Boston, MA",,2018-03-07 23:10:58,Angelab0424,2774882008
1833,"I liked a @YouTube video https://t.co/rEiv6C65up The Penal Zone Soundtrack 02 - Tremble, Earthlings",971523632752218112,,"Boston, MA",,2018-03-07 23:10:58,Fullerfall37,952292037419704320
1835,"@tolmasky @iWaffles I thought with GH, if you specify the language, it'll render it with syntax highlighting. So it… https://t.co/wabOehW78x",971523627400220672,,"Cambridge, MA",,2018-03-07 23:10:57,duncanmak,1731241
1836,@altheyyoung Wa abi gatueog,971523625948930048,,"Cambridge, MA",,2018-03-07 23:10:57,Captainrabbids,764236216736755712
1837,"RT @HarvardChanSPH: March is #NationalNutritionMonth, and it's a great time to learn about the components of a healthy diet. You can get st…",971523624678109184,,Other Location in US,,2018-03-07 23:10:56,stvmow,32181293
1838,#NowPlaying Tu Te La Vives [Hi6] - Kotthe El Oriental Ft. Endo &amp; Matthy Nets solo por https://t.co/iuA5Dtlnem https://t.co/SQoGbXReLl,971523624292233216,,"Boston, MA",,2018-03-07 23:10:56,Fuerza943fm,86364046
184,RT @gipperguy: Why do I get this great feeling that my horse #Sessions is coming into the home stretch and starting to make his move #Urani…,971525267855306752,,Other Location in US,,2018-03-07 23:17:28,jaredhidden,46710093
1841,"@LazUhhhhBro Yeah im sure he wanna come back lol that’ll be a nice ass duo, Malcolm gon, get Talib back healthy Chu… https://t.co/IqAWsFmBkH",971523623159820288,,"Boston, MA",,2018-03-07 23:10:56,Mayberrykush,84959930
1842,"RT @TimothyAWise: Get ready Africa: US thumbs its nose at WTO with cottonseed subsidy. ""The provision is a workaround to the current system…",971523622639734784,,Other Location,,2018-03-07 23:10:56,ingrx,344690602
1843,"@mchanderphd I lived there for 6mos (good english int’l school). A day trip is fine, and make sure to see Scrovegny.",971523622492876800,,"Boston, MA",,2018-03-07 23:10:56,minhyoungsong,2191771714
1844,"Impressive panel of #femaleleaders, including @DianeHessan, “the OG of Boston leadership,” according to @HubSpot! P… https://t.co/Y08d4DndtU",971523622253813760,,"Boston, MA",,2018-03-07 23:10:56,Hperry2,40614698
